Parameter,Example
name_of_culture_group,reefian
mercenary_names,soppin_wet_band
group_coa,western_coa_gfx
group_building,western_building_gfx
group_clothing,western_clothing_gfx
group_unit,western_unit_gfx
culture_name,corallite
culture_coa,western_coa_gfx
mercenary_names,men_of_the_rainforest
color,0 240 80
character_modifier,x
male_names,Aide Alexanda Alfie Angus Archa Archie Ari Ari Arlo Arry Artha Arve Asher Asho Auss Beau Benji Billy Blake Brax Caleb Carta Charlie Chaz Connor Coopa Danno Darce Edzo Eli Ethan Ezra Felix Finn Fletch Flynn Fredders Gabe George Grays Hamish Henry Huddie Hugo Hunta Isaac Jacka Jackers Jacob Jaimo Jasp Jaxon Jayzer Joey Jordo Josh Kai Lennox Leo Levi Lewis Liam Lijah Link Locke Louis Luca Lucas Luka Luke Maso Mattie Mav Max Mich Nardo Nate Noah Olly Osca Owen Paddy Parker Phoenix Riley River Ryan Ryder Sammo Seb Sonny Spence Tedzo Theo Tommo Tyler Vinno Will Wyatt Xavier
female_names,Aaliyah Abs Addie Alice Aria Aubrey Aud Ava Ayla Bell Bella Billie Bonnie Brooks Carly Charlie Chelsea Chloe Claire Clara Daisy Delilah Elena Eliza Ella Ellie Ells Eloise Elsie Em Emilia Emma Ev Eva Evie Flo Fran Freya Georgia Gracie Hallie Hannah Happa Harlie Harriet Hayley Hazel Holly Imogen Indie Isla Ivy Izz Jaz Layla Lills Lilly Lily Lina Livia Lizzo Lola Lucy Luna Macky Maddie Maggie Mel Mia Mila Millie Nabs Olive Paige Pennie Peyton Phia Phoebs Piper Pippa Poppy Quinn Remi Rora Rose Rosie Ruby Sadie Sav Sienna Sofia Soph Stella Summer Thea Tild Vio Willow Zara Zoe
cadet_dynasty_names,Canetoad Kingfisher Wompoo Marsh Swamper Keelback Pythonback Snaketongue Gecko Croctooth Ferns Ginger Satinash Palmshade Monamona Kuranda Koah Biboohra Mareeba Gadgarra Wooroo Snapper Tidal Coralia Turtle Mollusc Greenwood Saplicker Suckler Wavers Seafoam Koala Cassowary Quoli Roo Azure Treefrog Fruitdove Mango Pawpaw Dragonfruit Sapote
dynasty_names,Canetoad Kingfisher Wompoo Marsh Swamper Keelback Pythonback Snaketongue Gecko Croctooth Ferns Ginger Satinash Palmshade Monamona Kuranda Koah Biboohra Mareeba Gadgarra Wooroo Snapper Tidal Coralia Turtle Mollusc Greenwood Saplicker Suckler Wavers Seafoam Koala Cassowary Quoli Roo Azure Treefrog Fruitdove Mango Pawpaw Dragonfruit Sapote
dynasty_of_location_prefix,of
pat_grf_name_chance,33
mat_grf_name_chance,33
father_name_chance,33
pat_grm_name_chance,33
mat_grm_name_chance,33
mother_name_chance,33
patronym_prefix_male,x
patronym_prefix_male_vowel,x
patronym_prefix_female,x
patronym_prefix_female_vowel,x
patronym_suffix_male,x
patronym_suffix_female,x
always_use_patronym,no
african,10
arab,x
east_african,x
slavic_blond,x
slavic_ginger,x
slavic_brown_hair,x
slavic_dark_hair,x
circumpolar_dark_hair,x
circumpolar_brown_hair,x
circumpolar_blonde_hair,x
caucasian_northern_blond,x
caucasian_northern_ginger,x
caucasian_northern_brown_hair,x
caucasian_northern_dark_hair,x
caucasian_blond,10
caucasian_ginger,10
caucasian_brown_hair,30
caucasian_dark_hair,30
asian,10
indian,x
mediterranean_byzantine,x
south_indian,x
slavic_northern_blond,x
slavic_northern_ginger,x
slavic_northern_brown_hair,x
slavic_northern_dark_hair,x
mediterranean,x
culture_name,mackayan
culture_coa,western_coa_gfx
mercenary_names,mackay_band
color,4 191 66
character_modifier,x
male_names,Aide Alexanda Alfie Angus Archa Archie Ari Ari Arlo Arry Artha Arve Asher Asho Auss Beau Benji Billy Blake Brax Caleb Carta Charlie Chaz Connor Coopa Danno Darce Edzo Eli Ethan Ezra Felix Finn Fletch Flynn Fredders Gabe George Grays Hamish Henry Huddie Hugo Hunta Isaac Jacka Jackers Jacob Jaimo Jasp Jaxon Jayzer Joey Jordo Josh Kai Lennox Leo Levi Lewis Liam Lijah Link Locke Louis Luca Lucas Luka Luke Maso Mattie Mav Max Mich Nardo Nate Noah Olly Osca Owen Paddy Parker Phoenix Riley River Ryan Ryder Sammo Seb Sonny Spence Tedzo Theo Tommo Tyler Vinno Will Wyatt Xavier
female_names,Aaliyah Abs Addie Alice Aria Aubrey Aud Ava Ayla Bell Bella Billie Bonnie Brooks Carly Charlie Chelsea Chloe Claire Clara Daisy Delilah Elena Eliza Ella Ellie Ells Eloise Elsie Em Emilia Emma Ev Eva Evie Flo Fran Freya Georgia Gracie Hallie Hannah Happa Harlie Harriet Hayley Hazel Holly Imogen Indie Isla Ivy Izz Jaz Layla Lills Lilly Lily Lina Livia Lizzo Lola Lucy Luna Macky Maddie Maggie Mel Mia Mila Millie Nabs Olive Paige Pennie Peyton Phia Phoebs Piper Pippa Poppy Quinn Remi Rora Rose Rosie Ruby Sadie Sav Sienna Sofia Soph Stella Summer Thea Tild Vio Willow Zara Zoe
cadet_dynasty_names,Canetoad Kingfisher Wompoo Marsh Swamper Keelback Pythonback Snaketongue Gecko Croctooth Ferns Ginger Satinash Palmshade Monamona Kuranda Koah Biboohra Mareeba Gadgarra Wooroo Snapper Tidal Coralia Turtle Mollusc Greenwood Saplicker Suckler Wavers Seafoam Koala Cassowary Quoli Roo Azure Treefrog Fruitdove Mango Pawpaw Dragonfruit Sapote
dynasty_names,Canetoad Kingfisher Wompoo Marsh Swamper Keelback Pythonback Snaketongue Gecko Croctooth Ferns Ginger Satinash Palmshade Monamona Kuranda Koah Biboohra Mareeba Gadgarra Wooroo Snapper Tidal Coralia Turtle Mollusc Greenwood Saplicker Suckler Wavers Seafoam Koala Cassowary Quoli Roo Azure Treefrog Fruitdove Mango Pawpaw Dragonfruit Sapote
dynasty_of_location_prefix,of
pat_grf_name_chance,33
mat_grf_name_chance,33
father_name_chance,33
pat_grm_name_chance,33
mat_grm_name_chance,33
mother_name_chance,33
patronym_prefix_male,x
patronym_prefix_male_vowel,x
patronym_prefix_female,x
patronym_prefix_female_vowel,x
patronym_suffix_male,x
patronym_suffix_female,x
always_use_patronym,no
african,10
arab,x
east_african,x
slavic_blond,x
slavic_ginger,x
slavic_brown_hair,x
slavic_dark_hair,x
circumpolar_dark_hair,x
circumpolar_brown_hair,x
circumpolar_blonde_hair,x
caucasian_northern_blond,x
caucasian_northern_ginger,x
caucasian_northern_brown_hair,x
caucasian_northern_dark_hair,x
caucasian_blond,10
caucasian_ginger,10
caucasian_brown_hair,30
caucasian_dark_hair,30
asian,10
indian,x
mediterranean_byzantine,x
south_indian,x
slavic_northern_blond,x
slavic_northern_ginger,x
slavic_northern_brown_hair,x
slavic_northern_dark_hair,x
mediterranean,x
culture_name,burnettian
culture_coa,western_coa_gfx
mercenary_names,men_of_the_rainforest
color,16 143 58
character_modifier,x
male_names,Aide Alexanda Alfie Angus Archa Archie Ari Ari Arlo Arry Artha Arve Asher Asho Auss Beau Benji Billy Blake Brax Caleb Carta Charlie Chaz Connor Coopa Danno Darce Edzo Eli Ethan Ezra Felix Finn Fletch Flynn Fredders Gabe George Grays Hamish Henry Huddie Hugo Hunta Isaac Jacka Jackers Jacob Jaimo Jasp Jaxon Jayzer Joey Jordo Josh Kai Lennox Leo Levi Lewis Liam Lijah Link Locke Louis Luca Lucas Luka Luke Maso Mattie Mav Max Mich Nardo Nate Noah Olly Osca Owen Paddy Parker Phoenix Riley River Ryan Ryder Sammo Seb Sonny Spence Tedzo Theo Tommo Tyler Vinno Will Wyatt Xavier
female_names,Aaliyah Abs Addie Alice Aria Aubrey Aud Ava Ayla Bell Bella Billie Bonnie Brooks Carly Charlie Chelsea Chloe Claire Clara Daisy Delilah Elena Eliza Ella Ellie Ells Eloise Elsie Em Emilia Emma Ev Eva Evie Flo Fran Freya Georgia Gracie Hallie Hannah Happa Harlie Harriet Hayley Hazel Holly Imogen Indie Isla Ivy Izz Jaz Layla Lills Lilly Lily Lina Livia Lizzo Lola Lucy Luna Macky Maddie Maggie Mel Mia Mila Millie Nabs Olive Paige Pennie Peyton Phia Phoebs Piper Pippa Poppy Quinn Remi Rora Rose Rosie Ruby Sadie Sav Sienna Sofia Soph Stella Summer Thea Tild Vio Willow Zara Zoe
